name,isbn,image,category,author,price,format
You Can Heal Your Life,9781560000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5617/9781561706280.jpg,Medical,Louise Hay,14.83,Paperback
Man's Search for Meaning,9780810000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8070/9780807014271.jpg,Medical,Viktor E. Frankl,11.97,Paperback
Don't Shoot the Dog!,9781860000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8605/9781860542381.jpg,Medical,Karen Pryor,8.11,Paperback
Self Compassion,9781440000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4447/9781444738179.jpg,Medical,Kristin Neff,12.79,Paperback
Trail Guide to the Body,9780980000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9829/9780982978658.jpg,Medical,R.  Andrew Biel,71.64,Spiral bound
When Breath Becomes Air,9781530000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5291/9781529110944.jpg,Medical,Paul Kalanithi,7.54,Paperback
It Didn't Start with You,9781100000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1019/9781101980385.jpg,Medical,Mark Wolynn,13.18,Paperback
The Complete Ketogenic Diet for Beginners,9781620000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6231/9781623158088.jpg,Medical,Amy Ramos,11.08,Paperback
The End of Alzheimer's,9781790000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7850/9781785041228.jpg,Medical,Dale E. Bredesen,15.49,Paperback
The Secret Language of Color Cards,9781580000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5827/9781582703268.jpg,Medical,Inna Segal,10.1,Paperback
The China Study: Revised and Expanded Edition,9781940000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9416/9781941631560.jpg,Medical,T. Colin Campbell,15.58,Paperback
Immortal Life of Henrietta Lacks,9780310000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3078/9780307888440.jpg,Medical,Rebecca Skloot,8.82,Paperback
Maps of Meaning,9780420000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4159/9780415922227.jpg,Medical,Jordan B. Peterson,49.85,Paperback
The Gene,9780100000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099584575.jpg,Medical,Siddhartha Mukherjee,12.59,Paperback
"Many Lives, Many Masters",9780670000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6716/9780671657864.jpg,Medical,Brian L. Weiss,11.03,Paperback
"Breaking the vicious cycle, Intestinal health through diet",9780970000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9692/9780969276814.jpg,Medical,Elaine Gottscha,22.3,Paperback
Highly Sensitive Child,9780770000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7679/9780767908726.jpg,Medical,Elaine N. Aron,12.92,Paperback
The Body Remembers,9780390000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3937/9780393703276.jpg,Medical,Babette Rothschild,28.58,Hardback
The Undiscovered Self,9780450000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4512/9780451217325.jpg,Medical,C G Jung,6.38,Paperback
ACT Made Simple,9781680000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6840/9781684033010.jpg,Medical,Russ Harris,30.5,Paperback
Dibs in Search of Self,9780350000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3453/9780345339256.jpg,Medical,Virginia M. Axline,6.72,Paperback
"Ayurveda, the Science of Self-healing: A Practical Guide",9780910000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9149/9780914955009.jpg,Medical,Vasant Lad,10.02,Paperback
Sweet Poison,9780720000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718179076.jpg,Medical,David Gillespie,8.82,Paperback
Art Therapy Sourcebook,9780070000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0714/9780071468275.jpg,Medical,Cathy Malchiodi,17.09,Paperback
Intuitive Eating,9781250000000,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/2500/9781250004048.jpg,Medical,Evelyn Tribole,10.62,Paperback
